state_sch_id,sch_name,level,stn_membership,stn_white_pct,stn_male_pct,stn_attendance_pct,stn_chronic_absence_pct,stn_safety_pct,stn_ell_pct,stn_frpl_pct,stn_gifted_pct,stn_homeless_pct,stn_iep_pct,stn_migrant_pct,tchr_experience_avg,tchr_new_pct,tchr_ma_plus_pct,tchr_national_board_pct,tchr_turnover_pct,tchr_waivers_pct,tell_students,tell_community,tell_leadership,dist_seek_funding,dist_building_funding,title1_status,student_teacher_ratio,prof_rd,prof_ma,cluster,pc1,pc2
001001016,Adair County Elementary School,ES,624,0.8910256410256411,0.5064102564102564,0.95,0.13782051282051283,0.060897435897435896,0.027243589743589744,0.7516025641025641,0.10416666666666667,0.0016025641025641025,0.1282051282051282,0.019230769230769232,13.3,9.1,0.7269999999999999,0.09090909090909091,0.24242424242424243,0,0.893,0.892,0.9490000000000001,5249,993715,3,0.06666666666666667,52.1,51.4,5,0.6167224042725613,-0.35041461552761377
001001020,Adair County Primary Center,ES,538,0.879182156133829,0.550185873605948,0.94,0.20446096654275092,0.022304832713754646,0.03717472118959108,0.7695167286245354,0.10594795539033457,0.020446096654275093,0.23977695167286245,0.03717472118959108,15.9,2.7,0.946,0.16216216216216217,0.16216216216216217,0,0.8029999999999999,0.887,0.784,5249,993715,3,0.0625,NA,NA,11,0.37308326254549457,-1.056812945650151
002005060,Allen County Intermediate Center,ES,707,0.9108910891089109,0.4809052333804809,0.9520000000000001,0.13437057991513437,0.15417256011315417,0.009900990099009901,0.6633663366336634,0.024045261669024046,0.0297029702970297,0.15417256011315417,0.002828854314002829,11.9,5.9,0.647,0.20588235294117646,0.029411764705882353,0.029411764705882353,0.883,0.877,0.836,5071,2258788,3,0.058823529411764705,58.4,52,21,0.49264685298653976,0.3432658992338622
002005010,Allen County Primary Center,ES,909,0.9130913091309131,0.5258525852585259,0.943,0.1694169416941694,0.09900990099009901,0.020902090209020903,0.7018701870187019,0.05500550055005501,0.014301430143014302,0.23322332233223322,0.005500550055005501,12,1.9,0.8080000000000002,0.057692307692307696,0.07692307692307693,0.038461538461538464,0.938,0.8190000000000001,0.884,5071,2258788,3,0.07142857142857142,44.3,44.3,11,0.3716900233684469,-0.5745352021468662
056006010,Anchorage Independent Public School,ES,374,0.8823529411764706,0.5347593582887701,0.968,0.0374331550802139,0.008021390374331552,0.00267379679144385,0.06951871657754011,0.3048128342245989,0,0.09090909090909091,0,15.9,5.3,0.9209999999999999,0.2631578947368421,0.21052631578947367,0,0.9329999999999999,0.997,0.946,1857,242847,4,0.1,89.7,87.7,13,4.2899873596025,0.6107458785680651
003011110,Emma B. Ward Elementary School,ES,417,0.9136690647482014,0.5587529976019184,0.951,0.1486810551558753,0.0407673860911271,0.007194244604316547,0.460431654676259,0.1342925659472422,0.011990407673860911,0.15827338129496402,0,14.2,0,0.904,0.19047619047619047,0.2857142857142857,0,0.8859999999999999,0.946,0.912,3901,3602038,3,0.07142857142857142,53.1,45,2,2.0314682849665684,-0.42162758481416235
003011022,Robert B. Turner Elementary School,ES,530,0.9283018867924528,0.4962264150943396,0.9540000000000001,0.13018867924528302,0.04339622641509434,0.0037735849056603774,0.45849056603773586,0.11320754716981132,0,0.15660377358490565,0,11.4,4,0.8,0.04,0.08,0.04,0.75,0.894,0.861,3901,3602038,3,0.058823529411764705,56.5,55.1,4,1.1173597685698418,0.24214779075784432
003011050,Saffell Street Elementary School,ES,418,0.8301435406698564,0.5406698564593302,0.9490000000000001,0.15311004784688995,0.02631578947368421,0.028708133971291867,0.6866028708133971,0.1339712918660287,0.0023923444976076554,0.14114832535885166,0.007177033492822967,12.5,0,0.809,0.09523809523809523,0.23809523809523808,0,0.8270000000000001,0.924,0.8809999999999999,3901,3602038,3,0.06666666666666667,43.8,38.2,5,0.8571341208261636,-0.07543570774487136
010012130,Charles Russell Elementary School,ES,237,0.8354430379746836,0.4767932489451477,0.9540000000000001,0.10548523206751055,0.03375527426160337,0,0.679324894514768,0.10970464135021098,0.07172995780590717,0.20675105485232068,0,12.7,0,0.7,0,0.4,0,0.857,0.961,0.902,5147,2399452,3,0.09090909090909091,69.5,59.5,11,0.10903758493567534,-1.0573556530926493
010012070,Crabbe Elementary School,ES,254,0.7440944881889764,0.5196850393700787,0.94,0.25196850393700787,0.08661417322834646,0.003937007874015748,0.9251968503937008,0.06299212598425197,0.16929133858267717,0.3110236220472441,0,12.6,8,0.75,0,0.48,0,0.884,0.7759999999999999,0.903,5147,2399452,3,0.08333333333333333,37.4,29,28,-2.846289711751243,-1.354666660311248
010012080,Hager Elementary School,ES,367,0.8828337874659401,0.4659400544959128,0.958,0.09264305177111716,0.005449591280653951,0,0.4659400544959128,0.09809264305177112,0.008174386920980926,0.11989100817438691,0,8,18.5,0.539,0,0.4074074074074074,0.037037037037037035,0.9690000000000001,0.973,0.943,5147,2399452,3,0.06666666666666667,71.9,67.4,24,0.27374254231779266,-0.21253686835958224
010012100,Oakview Elementary School,ES,310,0.9064516129032258,0.535483870967742,0.9420000000000001,0.20967741935483872,0,0,0.7258064516129032,0.08709677419354839,0.05806451612903226,0.31290322580645163,0,12.5,5,0.8,0,0.65,0,0.973,0.9620000000000001,0.941,5147,2399452,3,0.07692307692307693,59.9,50.7,19,-0.670590805147215,-2.1709587084827446
